Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-07-20,1.1495867723533437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.052465443318181,0.9634739811067762,1.4233365512653025,1.0,1.0085962368778405
2020-07-21,1.1392542131492422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0416950684478807,1.0041970985536757,1.4011025028033885,1.0,1.0107421786435993
2020-07-22,1.1484723638603018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0462571471145676,0.9998690829401197,1.4031750034137402,1.0,1.0164956069151634
2020-07-23,1.1455150598594472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0453207547119188,0.9950530341272534,1.3509962375445996,1.0,1.0043671146456241
2020-07-24,1.1382035764762686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0375096535614061,0.9858898436670483,1.3504944553180371,1.0,0.9978986816211025
2020-07-27,1.1578516569206045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0553792321136521,0.991917506135005,1.3738501834674512,1.0,1.00517579759409
2020-07-28,1.1486458658286856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0547950941970872,0.9752096594934644,1.352414448909346,1.0,0.9988004244271528
2020-07-29,1.173259887129955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0718302849700974,0.9944303254251662,1.3737003314777052,1.0,1.011084531740936
2020-07-30,1.1828242387840078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.066373944943242,0.9633941729669753,1.3839110965533887,1.0,1.0074768391224893
2020-07-31,1.1898654058524893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0719840392044113,0.9793147867326918,1.4462780811114941,1.0,1.0154379398959066
2020-08-03,1.2181894735404777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.082313337796025,0.9749163774614515,1.4732266437335644,1.0,1.0224979162011973
2020-08-04,1.210944515044384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0910113037994429,0.9984638176088514,1.4771402652545604,1.0,1.026447034410095
2020-08-05,1.2106496160575677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0902268076828048,1.0188893766527356,1.484941443233076,1.0,1.0328226136896737
